1.579652 4.29638 6.285403 6.592655 6.175515
6.977862 7.72949 7.918491 7.812336 7.373646
6.850125 7.180689 6.476056 6.019119 6.749532
8.328532 10.70273 12.30147 13.26074 11.73949
10.78496 9.377744 9.410321 8.180501 8.575289
10.7649 11.81355 13.29491 15.27316 16.23488
16.23448 15.39398 15.12953 16.00279 14.33116
13.2769 13.60749 13.80809 14.87954 16.92119
19.06928 21.19115 21.72424 20.37855 19.45333
18.88737 19.21094 16.46691 16.66944 19.01063
20.11506 21.29569 22.11577 23.23328 23.67199
22.82084 21.48032 20.92307 21.31006 21.02849
21.31348 21.50486 22.59573 25.22646 26.984
28.70745 28.41448 27.90561 26.50496 24.80261
24.51053 23.70986 25.06499 26.8213 28.66615
29.26818 30.25628 30.8187 30.94818 29.92344
31.10394 30.92068 31.01559 29.12061 28.44883
29.95898 31.19924 32.80031 33.31067 35.67415
36.29388 34.9489 33.53389 33.42202 32.24034
30.71615 31.33662 33.42088 35.5199 37.83153
38.68071 39.71121 39.80661 37.76362 36.07257
37.06651 37.21955 38.13052
